πληροφορίες,ημνία_πλειστηριασμού,μοναδικός_κωδικός,τύπος_ακινήτου,περιφέρεια,δήμος,επιφάνεια,όροφος,έτος_κατασκευής,κατάσταση_πλειστηριασμού,τιμή_εκκίνησης (€),ακρίβεια_τοποθεσίας,latitude,longitude,year_range,surface_range
https://www.eauction.gr/Auction/Details/57dd0d1417d2cg3ba45hc43c5ib74j1h,29/10/2020,rwPrqTU6f5-004,Κατοικία,Αττικής,Ηρακλείου,72.7,,,Ολοκληρωμένος,36000,όχι,38.0400734,23.7673448,,50-99
https://www.eauction.gr/Auction/Details/5k1j706f0fdc6g4a_hc27i472c_5_40f,29/10/2020,rwPrqTU6f5-005,Αποθήκη,Αττικής,Ηρακλείου,10.0,,,Ολοκληρωμένος,1600,όχι,38.0400734,23.7673448,,<50
https://www.eauction.gr/Auction/Details/0e4_440gd54ha302ah33_65321c52561,29/10/2020,rwPrqTU6f5-006,Θέση Στάθμευσης,Αττικής,Ηρακλείου,10.12,,,Ολοκληρωμένος,2800,όχι,38.0400734,23.7673448,,<50
https://www.eauction.gr/Auction/Details/b06k0k0k05015044170i4fc_16ag3g1f,09/06/2021,FV1FS6BtsL-002,Αποθήκη,Αττικής,Αθηναίων,5.0,Υπόγειο,2004.0,Ολοκληρωμένος - Κατακύρωση,2000,ναι,38.0068141,23.7527089,2000-2009,<50
https://www.eauction.gr/Auction/Details/3fd7a60c7a3547_6753a_kc6a70557d6,09/06/2021,FV1FS6BtsL-001,Κατοικία,Αττικής,Αθηναίων,91.0,3ος,2004.0,Ολοκληρωμένος - Κατακύρωση,128000,ναι,38.0068141,23.7527089,2000-2009,50-99
https://www.eauction.gr/Auction/Details/544g0aaf45_aaa425567a1ag1f_d6b_b,03/03/2021,3cc3Ftw3DA,Κατοικία,Αττικής,Φιλοθέης - Ψυχικού,456.68,Ισόγειο,1995.0,Ματαιωμένος,1233350,ναι,38.0110067,23.7721845,1990-1999,400-499
https://www.eauction.gr/Auction/Details/107f1f1k7_536f6k24177703b14fdc0b,02/06/2021,ig6UD9y1ZG,Κατοικία,Αττικής,Αμαρουσίου,132.21,3ος,1976.0,Ολοκληρωμένος - Κατακύρωση,188000,ναι,38.0547595,23.7984936,1970-1989,100-149
https://www.eauction.gr/Auction/Details/c76j__0bdb221c4h64135bc6bace712g,02/06/2021,SJ9IxOiKOa-001,Κατοικία,Αττικής,Αλίμου,190.04,Ισόγειο,1975.0,Ματαιωμένος,324000,ναι,37.910182,23.7210283,1970-1989,150-199
https://www.eauction.gr/Auction/Details/414j232776da_6cka7753f47551i11_j,02/06/2021,SJ9IxOiKOa-002,Κατοικία,Αττικής,Αλίμου,190.04,,,Ματαιωμένος,162000,ναι,37.910182,23.7210283,,150-199
https://www.eauction.gr/Auction/Details/0gbg0j0__bc70a1c6i5fai6a62bebb6i,02/06/2021,SJ9IxOiKOa-003,Κατοικία,Αττικής,Αλίμου,139.42,,,Ματαιωμένος,120000,ναι,37.910182,23.7210283,,100-149
https://www.eauction.gr/Auction/Details/3j3514_24f156k_e3bc11e0h616e_d77,02/06/2021,SJ9IxOiKOa-004,Κατοικία,Αττικής,Αλίμου,115.45,,,Ματαιωμένος,140000,ναι,37.910182,23.7210283,,100-149
https://www.eauction.gr/Auction/Details/a2_43bcg7kb5ca75_k6adf3ibbak01bk,02/06/2021,SJ9IxOiKOa-005,Κατοικία,Αττικής,Αλίμου,115.45,,,Ματαιωμένος,140000,ναι,37.910182,23.7210283,,100-149
https://www.eauction.gr/Auction/Details/2b0d60b_dea_4jbcd42bbbca33bj2f7f,02/06/2021,SJ9IxOiKOa-006,Κατοικία,Αττικής,Αλίμου,115.45,,,Ματαιωμένος,142000,ναι,37.910182,23.7210283,,100-149
https://www.eauction.gr/Auction/Details/_11c045k0k43_575bd41_c44acd1_cb5,07/07/2021,fRcGZOlgbg,Κατοικία,Αττικής,Ιλίου,198.0,Ισόγειο,2008.0,Ματαιωμένος,123596,ναι,38.0237629,23.70548,2000-2009,150-199
https://www.eauction.gr/Auction/Details/46ck00076f3e656063_kah77317f5f62,30/06/2021,9Wx6C9CCBS,Αγροτεμάχιο με κτίσμα,Αττικής,Κρωπίας,300.0,,2000.0,Σε αναστολή,358500,όχι,37.8666667,23.9,2000-2009,300-399
https://www.eauction.gr/Auction/Details/1kc6db4a034_154_b13c_5d22h51d303,14/07/2021,d6yBHfTJuF,Επαγγελματικοί Χώροι,Αττικής,Αθηναίων,62.8,Ισόγειο,1992.0,Ολοκληρωμένος - Κατακύρωση,52477,ναι,37.9657483,23.7353117,1990-1999,50-99
https://www.eauction.gr/Auction/Details/5j0_6ab7c15bad1_6h1d4kcf0g_kbb_b,21/07/2021,cH6TrqwYE1,Κατοικία,Αττικής,Πεντέλης,139.2,3ος,1985.0,Ματαιωμένος,260000,ναι,38.0438759,23.8816874,1970-1989,100-149
https://www.eauction.gr/Auction/Details/_h6jd_c40c_dbb3b141_4c374ac464af,22/07/2021,v1gLFQYTjG,Κατοικία,Αττικής,Μαρκοπούλου Μεσογαίας,602.47,,2004.0,Ματαιωμένος,335500,όχι,37.8833564,23.9333037,2000-2009,500+
https://www.eauction.gr/Auction/Details/a2266g7gbi76_07i6bba1e_c4d2cb267,26/05/2021,rV0kRefouA,Κατοικία,Αττικής,Καλλιθέας,114.0,1ος,2009.0,Ματαιωμένος,147335,ναι,37.9544885,23.6972118,2000-2009,100-149
https://www.eauction.gr/Auction/Details/a1ad6i3a0id63b1bc5ba_4ab0a12_dak,22/07/2021,TSUWduH4uV,Κατοικία,Αττικής,Βάρης - Βούλας - Βουλιαγμένης,111.0,2ος,2001.0,Ματαιωμένος,450000,ναι,37.8482193,23.7658394,2000-2009,100-149
https://www.eauction.gr/Auction/Details/1d1h2k5j0e_k_jd0221c51137_254b12,26/01/2022,KsplUvvPt7,Κατοικία,Αττικής,Αγίων Αναργύρων - Καματερού,118.67,2ος,2007.0,Ματαιωμένος,122570,ναι,38.0582133,23.7106043,2000-2009,100-149
https://www.eauction.gr/Auction/Details/7i4d_a6h7015dd__df3f4623aja0c04j,12/01/2022,qAXoNFuQ0p,Κατοικία,Αττικής,Πειραιώς,80.57,2ος,1977.0,Σε αναστολή,84000,ναι,37.9332819,23.6343434,1970-1989,50-99
https://www.eauction.gr/Auction/Details/3h6c_dbj5d6kc3_dcc0c3j1c1h7h1i0k,14/07/2021,hibX5NnEj0,Κατοικία,Αττικής,Αθηναίων,86.5,1ος,2002.0,Ολοκληρωμένος - Ματαίωση ελλείψει πλειοδοτών,90000,ναι,38.0099286,23.7285438,2000-2009,50-99
https://www.eauction.gr/Auction/Details/6h4_50db4j112bbibe_i34c13g_abk56,14/07/2021,wC1EfdYrJu-002,Αποθήκη,Αττικής,Παλλήνης,6.0,,,Ολοκληρωμένος - Ματαίωση ελλείψει πλειοδοτών,1689.3,όχι,38.0021379,23.8851035,,<50
https://www.eauction.gr/Auction/Details/1_215k4j2437632cd56k7f12350j1e7d,14/07/2021,wC1EfdYrJu-001,Κατοικία,Αττικής,Παλλήνης,108.0,,,Ολοκληρωμένος - Ματαίωση ελλείψει πλειοδοτών,115117.4,όχι,38.0021379,23.8851035,,100-149
https://www.eauction.gr/Auction/Details/7g004g7j454abjd171dg3hb_bf37a4ch,14/07/2021,wC1EfdYrJu-003,Θέση Στάθμευσης,Αττικής,Παλλήνης,27.0,,,Ολοκληρωμένος - Ματαίωση ελλείψει πλειοδοτών,6366.6,όχι,38.0021379,23.8851035,,<50
https://www.eauction.gr/Auction/Details/41b_6675__d_667e0e_56i2jdd_2454c,16/07/2021,0NJasMLL5G,Κατοικία,Αττικής,Αμαρουσίου,0.0,4ος,1983.0,Ολοκληρωμένος - Κατακύρωση,106020,ναι,38.0513756,23.8005364,1970-1989,<50
https://www.eauction.gr/Auction/Details/dd3e6kaf060g262340724213315b_d4i,07/07/2021,YEBW5CG1Fj,Κατοικία,Αττικής,Νέας Σμύρνης,100.5,4ος,2001.0,Ματαιωμένος,205000,ναι,37.9477832,23.7150765,2000-2009,100-149
https://www.eauction.gr/Auction/Details/5477d00d7bbicdaj4d5ade2ic4_1aaag,12/01/2022,mAbdWrw6Kw,Κατοικία,Αττικής,Αθηναίων,47.0,1ος,1962.0,Ολοκληρωμένος - Κατακύρωση,62000,ναι,37.9678162,23.7453155,1950-1969,<50
https://www.eauction.gr/Auction/Details/dcc4737h123d1a407402405d0fcj304j,16/02/2022,rsPSJW4505,Κατοικία,Αττικής,Πειραιώς,400.0,,1992.0,Ματαιωμένος,414000,ναι,37.9420993,23.6607532,1990-1999,400-499
https://www.eauction.gr/Auction/Details/44_i_dcfd5_bd_agd3b4c34dd0_e_35e,07/07/2021,dfwdTwFREI-001,Κατοικία,Αττικής,Σαρωνικού,206.28,Ισόγειο,2008.0,Ματαιωμένος,175750,όχι,37.7702273,23.9298551,2000-2009,200-299
https://www.eauction.gr/Auction/Details/7h2aa_2cc0a5451ib2_50e3_15c7bccj,19/01/2022,5SgjjbG10y,Κατοικία,Αττικής,Αχαρνών,98.0,4ος,1973.0,Ολοκληρωμένος - Κατακύρωση,76288,ναι,38.0797114,23.7100371,1970-1989,50-99
https://www.eauction.gr/Auction/Details/bf5c13cc451_5a2__k3acbb21f5hdgcc,21/07/2021,RAuSCGjFGG-002,Θέση Στάθμευσης,Αττικής,Αμαρουσίου,12.5,Υπόγειο,2002.0,Ολοκληρωμένος - Κατακύρωση,7550,όχι,38.0567252,23.798749,2000-2009,<50
https://www.eauction.gr/Auction/Details/c16d_bb4_55bac3g4d3g0c3d6d3id1c0,23/02/2022,JD77eTPyjo-002,Κατοικία,Αττικής,Αχαρνών,94.5,1ος,2006.0,Ολοκληρωμένος - Ματαίωση ελλείψει πλειοδοτών,184000,ναι,38.1306776,23.7506989,2000-2009,50-99
https://www.eauction.gr/Auction/Details/654ba_7i46a_5__4dd354_2f223465bi,23/02/2022,JD77eTPyjo-003,Θέση Στάθμευσης,Αττικής,Αχαρνών,10.13,Υπόγειο,2006.0,Ολοκληρωμένος - Ματαίωση ελλείψει πλειοδοτών,4000,ναι,38.1306776,23.7506989,2000-2009,<50
https://www.eauction.gr/Auction/Details/4a1g070bc5d17g3751bga3d6d2321j61,23/02/2022,JD77eTPyjo-004,Θέση Στάθμευσης,Αττικής,Αχαρνών,10.13,Υπόγειο,2006.0,Ολοκληρωμένος - Ματαίωση ελλείψει πλειοδοτών,4000,ναι,38.1306776,23.7506989,2000-2009,<50
https://www.eauction.gr/Auction/Details/3da3a2cc23b_b5_c5d0_07dc67_k_a_j,23/02/2022,JD77eTPyjo-001,Κατοικία,Αττικής,Αχαρνών,0.0,,,Ολοκληρωμένος - Ματαίωση ελλείψει πλειοδοτών,198000,ναι,38.1306776,23.7506989,,<50
https://www.eauction.gr/Auction/Details/7g6f_671c1_67g_bced2_f2gc6bd210j,02/02/2022,D624eayebd-001,Κατοικία,Αττικής,Παπάγου - Χολαργού,124.9,3ος,2002.0,Ματαιωμένος,330000,ναι,37.9959904,23.8112541,2000-2009,100-149
https://www.eauction.gr/Auction/Details/a14i15c155615_0adb6776bjbe316b6h,02/02/2022,D624eayebd-002,Αποθήκη,Αττικής,Παπάγου - Χολαργού,12.7,Υπόγειο,2002.0,Ματαιωμένος,3300,ναι,37.9959904,23.8112541,2000-2009,<50
https://www.eauction.gr/Auction/Details/620f0b3b64056hag767i7411d2c33_7_,02/02/2022,D624eayebd-003,Θέση Στάθμευσης,Αττικής,Παπάγου - Χολαργού,16.32,Υπόγειο,2002.0,Ματαιωμένος,7100,ναι,37.9959904,23.8112541,2000-2009,<50
https://www.eauction.gr/Auction/Details/423d5aag6k6c0gc20g50b6dd730a1f7d,02/02/2022,D624eayebd-004,Θέση Στάθμευσης,Αττικής,Παπάγου - Χολαργού,16.32,Υπόγειο,2002.0,Ματαιωμένος,7100,ναι,37.9959904,23.8112541,2000-2009,<50
https://www.eauction.gr/Auction/Details/6e1_c_0kd_116kbd1k2316cf__11_fch,02/03/2022,t5dyvCYBGq,Κατοικία,Αττικής,Αθηναίων,70.0,2ος,1972.0,Ολοκληρωμένος - Κατακύρωση,60000,ναι,38.0060809,23.7497576,1970-1989,50-99
https://www.eauction.gr/Auction/Details/155g3a10db6bcd7icf_0ca73cj6b7bch,21/07/2021,8cKi8Enqt1,Κατοικία,Αττικής,Διονύσου,80.6,1ος,2003.0,Ολοκληρωμένος - Κατακύρωση,100186,ναι,38.1279332,23.8941657,2000-2009,50-99
https://www.eauction.gr/Auction/Details/02ce64b4_d0i0k04_3ck3340_h_d43cj,21/07/2021,EI8mmyixjD,Κατοικία,Αττικής,Παπάγου - Χολαργού,157.32,1ος,1984.0,Ολοκληρωμένος - Κατακύρωση,203415,ναι,37.984029,23.7891041,1970-1989,150-199
https://www.eauction.gr/Auction/Details/2b13b00702ccd5a5746036434f404ibb,28/07/2021,xEuRHW3K2g,Κατοικία,Αττικής,Μοσχάτου - Ταύρου,72.0,4ος,2005.0,Ολοκληρωμένος - Κατακύρωση,160000,ναι,37.9470535,23.6780302,2000-2009,50-99
https://www.eauction.gr/Auction/Details/bc22cj3f60_63b_d1aajdc4g0352b360,21/07/2021,RoukD6fZaG,Κατοικία,Αττικής,Παπάγου - Χολαργού,312.19,,1984.0,Ολοκληρωμένος - Κατακύρωση,215538,ναι,37.9998539,23.8035133,1970-1989,300-399
https://www.eauction.gr/Auction/Details/1b_c24565i0f6b2_52_106bcc06g2k6j,02/03/2022,SL3RwTuve3,Κατοικία,Αττικής,Ζωγράφου,95.0,3ος,1971.0,Ολοκληρωμένος - Κατακύρωση,107000,ναι,37.9776544,23.7715802,1970-1989,50-99
https://www.eauction.gr/Auction/Details/4g44be7j1jaadab45g3d675k657ddf_h,09/03/2022,xfep6IssNu-001,Αποθήκη,Αττικής,Πειραιώς,5.38,Υπόγειο,2008.0,Ολοκληρωμένος - Κατακύρωση,2150,ναι,37.9572604,23.6344466,2000-2009,<50
https://www.eauction.gr/Auction/Details/56205a_j675hb_3d1ga02_c07k2j465h,09/03/2022,xfep6IssNu-002,Θέση Στάθμευσης,Αττικής,Πειραιώς,0.0,Πυλωτή,2008.0,Ολοκληρωμένος - Κατακύρωση,7200,ναι,37.9572604,23.6344466,2000-2009,<50
https://www.eauction.gr/Auction/Details/2c22bec2cic2_dbga2204fbdaf33621_,09/03/2022,xfep6IssNu-003,Κατοικία,Αττικής,Πειραιώς,0.0,6ος,2008.0,Ολοκληρωμένος - Κατακύρωση,117000,ναι,37.9572604,23.6344466,2000-2009,<50
https://www.eauction.gr/Auction/Details/_h160b01a50c72c3b44i5k03737ibhce,02/03/2022,X0WChxutNE,Κατοικία,Αττικής,Φιλοθέης - Ψυχικού,499.21,Ισόγειο,1991.0,Ολοκληρωμένος - Κατακύρωση,852100,ναι,38.0297018,23.7735759,1990-1999,400-499
https://www.eauction.gr/Auction/Details/b_66ad204a_66g4e5f772h70b1634g6c,16/03/2022,xUtskxUOM4,Κατοικία,Αττικής,Ηλιουπόλεως,52.7,Ισόγειο,1984.0,Ματαιωμένος,63000,ναι,37.9437684,23.7585912,1970-1989,50-99
https://www.eauction.gr/Auction/Details/cc0h05_0_g_j_ib27bcf232ic7d53474,16/03/2022,9mHdITe9L8,Κατοικία,Αττικής,Αθηναίων,70.0,1ος,1972.0,Ολοκληρωμένος - Κατακύρωση,63000,ναι,38.0197955,23.7305383,1970-1989,50-99
https://www.eauction.gr/Auction/Details/c35kbh504da4aj6c1f7iaa7140__5c5f,19/01/2022,qmeGtrq3k6,Κατοικία,Αττικής,Καισαριανής,77.95,4ος,1973.0,Ολοκληρωμένος - Κατακύρωση,88000,ναι,37.9630362,23.7617199,1970-1989,50-99
https://www.eauction.gr/Auction/Details/723773d32ac_313b65ab03c0ce2ibkaj,06/10/2021,QBOvlKNQX2-002,Θέση Στάθμευσης,Αττικής,Πετρούπολης,20.35,,,Ολοκληρωμένος - Κατακύρωση,9521,ναι,38.0431002,23.6731515,,<50
