fid,id,NAME,KWD_YPES,NUMPOINTS,std_name,price,avg_price
4,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.9,Αίγινας,"9208",5.000000000000000,αίγινας,51000,93533.333
5,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.11,Αγίας Βαρβάρας,"9179",4.000000000000000,αγίας βαρβ,41000,40050.000
5,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.11,Αγίας Βαρβάρας,"9179",4.000000000000000,αγίας βαρβ,40000,40050.000
5,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.11,Αγίας Βαρβάρας,"9179",4.000000000000000,αγίας βαρβ,39150,40050.000
6,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.12,Αγίας Παρασκευής,"9167",11.000000000000000,αγίας παρα,184000,188588.889
6,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.12,Αγίας Παρασκευής,"9167",11.000000000000000,αγίας παρα,288800,188588.889
6,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.12,Αγίας Παρασκευής,"9167",11.000000000000000,αγίας παρα,89800,188588.889
6,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.12,Αγίας Παρασκευής,"9167",11.000000000000000,αγίας παρα,157000,188588.889
6,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.12,Αγίας Παρασκευής,"9167",11.000000000000000,αγίας παρα,176000,188588.889
6,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.12,Αγίας Παρασκευής,"9167",11.000000000000000,αγίας παρα,125000,188588.889
6,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.12,Αγίας Παρασκευής,"9167",11.000000000000000,αγίας παρα,231700,188588.889
6,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.12,Αγίας Παρασκευής,"9167",11.000000000000000,αγίας παρα,279000,188588.889
6,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.12,Αγίας Παρασκευής,"9167",11.000000000000000,αγίας παρα,166000,188588.889
7,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.14,Αγίου Δημητρίου,"9194",24.000000000000000,αγίου δημη,105000,165468.750
7,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.14,Αγίου Δημητρίου,"9194",24.000000000000000,αγίου δημη,48800,165468.750
7,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.14,Αγίου Δημητρίου,"9194",24.000000000000000,αγίου δημη,52000,165468.750
7,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.14,Αγίου Δημητρίου,"9194",24.000000000000000,αγίου δημη,93000,165468.750
7,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.14,Αγίου Δημητρίου,"9194",24.000000000000000,αγίου δημη,80000,165468.750
7,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.14,Αγίου Δημητρίου,"9194",24.000000000000000,αγίου δημη,1144000,165468.750
